"filename", "language", "JavaScript", "PHP", "CSS", "JSON", "XML", "Markdown", "Less", "SCSS", "Ruby", "comment", "blank", "total"
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick.js", "JavaScript", 2119, 0, 0, 0, 0, 0, 0, 0, 0, 47, 846, 3012
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick.less", "Less", 0, 0, 0, 0, 0, 0, 87, 0, 0, 1, 13, 101
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 87, 0, 1, 13, 101
"d:\programming\uniProject\uniProject\public\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 30, 12, 56
"d:\programming\uniProject\uniProject\resources\css\app.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\programming\uniProject\uniProject\resources\js\app.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"d:\programming\uniProject\uniProject\resources\js\bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 23, 7, 33
"d:\programming\uniProject\uniProject\resources\productAdd.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming\uniProject\uniProject\resources\views\admin\products.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming\uniProject\uniProject\resources\views\admin\products\create.blade.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"d:\programming\uniProject\uniProject\resources\views\admin\products\edit.blade.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"d:\programming\uniProject\uniProject\resources\views\admin\products\index.blade.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"d:\programming\uniProject\uniProject\resources\views\admin\products\store.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming\uniProject\uniProject\resources\views\auth\confirm-password.blade.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\programming\uniProject\uniProject\resources\views\auth\forgot-password.blade.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\programming\uniProject\uniProject\resources\views\auth\login.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"d:\programming\uniProject\uniProject\resources\views\auth\register.blade.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53
"d:\programming\uniProject\uniProject\resources\views\auth\reset-password.blade.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"d:\programming\uniProject\uniProject\resources\views\auth\verify-email.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\programming\uniProject\uniProject\resources\views\cart.blade.php", "PHP", 0, 571, 0, 0, 0, 0, 0, 0, 0, 0, 57, 628
"d:\programming\uniProject\uniProject\resources\views\cart\index.blade.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"d:\programming\uniProject\uniProject\resources\views\components\application-logo.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\programming\uniProject\uniProject\resources\views\components\auth-session-status.blade.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\programming\uniProject\uniProject\resources\views\components\danger-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\programming\uniProject\uniProject\resources\views\components\dropdown-link.blade.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
